3550,3708,3733
3548,3702,3720
3543,3699,3726
3540,3682,3683
3535,3687,3705
3533,3676,3689
3528,3660,3652
3523,3652,3634
3519,3663,3672
3515,3650,3634
3509,3635,3611
3505,3618,3568
3500,3612,3558
3494,3595,3526
3489,3584,3485
3487,3594,3518
3482,3575,3736
3480,3565,3714
3477,3563,3718
3473,3552,3676
3471,3554,3691
3468,3538,3668
3466,3536,3655
3464,3525,3643
3464,3526,3641
3462,3523,3641
3463,3533,3664
3462,3523,3644
3463,3534,3666
3463,3533,3672
3466,3539,3683
3467,3548,3704
3469,3551,3720
3472,3549,3713
3476,3561,3732
3479,3583,3784
3483,3592,3544
3486,3598,3565
3491,3606,3580
3493,3609,3594
3498,3623,3623
3503,3643,3674
3507,3651,3681
3512,3653,3690
3517,3679,3756
3522,3669,3729
3525,3683,3755
3531,3707,3812
3536,3706,3801
3539,3723,3659
3543,3738,3693
3547,3752,3715
3550,3755,3731
3553,3744,3695
3556,3754,3729
3559,3770,3765
3560,3767,3766
3562,3776,3761
3563,3789,3806
3565,3788,3802
3565,3792,3806
3565,3790,3816
3565,3795,3826
3564,3782,3796
3562,3787,3814
3561,3782,3799
3558,3777,3783
3556,3765,3774
3553,3767,3781
3550,3771,3793
3546,3761,3767
3543,3764,3766
3539,3748,3730
3536,3728,3687
3531,3736,3711
3527,3723,3686
3521,3700,3819
3518,3712,3643
3511,3694,3816
3508,3680,3772
3503,3679,3802
3498,3663,3763
3494,3647,3735
3489,3636,3693
3485,3636,3695
3482,3628,3678
3479,3621,3667
3475,3611,3653
3473,3602,3619
3470,3592,3594
3467,3592,3594
3466,3582,3825
3464,3569,3802
3463,3579,3828
3462,3568,3794
3462,3569,3804
3463,3576,3815
3463,3577,3829
3465,3581,3837
3466,3581,3843
3468,3586,3588
3471,3602,3631
3474,3600,3619
3476,3603,3639
3480,3616,3650
3483,3634,3702
3487,3649,3729
3489,3635,3713
3495,3659,3764
3499,3672,3789
3504,3668,3777
3508,3681,3803
3514,3702,3847
3519,3726,3714
3523,3716,3679
3528,3726,3713
3533,3745,3750
3537,3751,3776
3541,3767,3810
3543,3773,3829
3548,3782,3830
3552,3769,3820
3554,3785,3849
3557,3798,3872
3560,3797,3877
3561,3810,3896
3562,3815,3910
3564,3811,3904
3563,3821,3933
3564,3820,3920
3565,3825,3933
3563,3824,3930
3563,3828,3941
3562,3820,3925
3561,3815,3929
3557,3810,3909
3555,3809,3904
3553,3793,3884
3548,3797,3895
3545,3791,3887
3540,3775,3865
3539,3781,3855
3534,3767,3844
3530,3757,3814
3525,3740,3775
3520,3722,3734
3516,3731,3755
3511,3723,3740
3505,3704,3881
3502,3704,3876
3496,3677,3843
3491,3674,3832
3488,3652,3775
3485,3666,3810
3481,3651,3781
3478,3642,3762
3475,3635,3750
3471,3631,3745
3469,3618,3703
3467,3619,3709
3465,3606,3680
3464,3599,3667
3463,3602,3666
3463,3603,3676
3463,3603,3671
3463,3601,3665
3464,3599,3663
3464,3596,3649
3467,3615,3703
3469,3618,3699
3471,3628,3721
3474,3625,3723
3477,3636,3738
3481,3649,3766
3485,3658,3793
3487,3672,3817
3491,3669,3822
3497,3687,3856
3501,3699,3875
3506,3699,3882
3511,3725,3749
3516,3728,3741
3519,3748,3791
3525,3745,3783
3530,3753,3813
3534,3771,3858
3539,3781,3865
3541,3788,3883
3545,3798,3904
3548,3802,3920
3552,3796,3898
3555,3815,3948
3558,3819,3956
3560,3823,3971
3562,3829,3978
3563,3845,3807
3563,3842,3800
3564,3839,4005
3566,3844,3802
3563,3846,3814
3564,3842,3795
3562,3834,3988
3560,3828,3974
3559,3839,4010
3556,3819,3967
3553,3817,3963
3551,3833,3992
3547,3820,3967
3543,3815,3959
3541,3800,3930
3537,3792,3908
3532,3777,3875
3528,3766,3863
3524,3751,3833
3518,3759,3859
3513,3746,3812
3509,3736,3792
3505,3719,3758
3500,3710,3929
3495,3706,3916
3489,3679,3882
3487,3693,3900
3484,3675,3869
3480,3658,3826
3476,3650,3801
3473,3644,3792
3470,3638,3782
3468,3629,3762
3466,3624,3746
3465,3626,3751
3463,3618,3729
3463,3621,3739
3462,3609,3716
3462,3610,3715
3462,3609,3713
3464,3612,3719
3466,3623,3743
3468,3624,3739
3469,3631,3770
3472,3631,3768
3476,3644,3784
3477,3651,3805
3483,3675,3865
3485,3678,3864
3490,3671,3859
3494,3689,3885
3498,3699,3906
3503,3723,3771
3507,3725,3770
3512,3730,3780
3517,3755,3841
3522,3742,3815
3526,3759,3856
3531,3778,3877
3535,3795,3927
3539,3797,3930
3542,3802,3946
3547,3825,3981
3550,3824,3973
3552,3808,3943
3556,3826,3985
3558,3835,4013
3561,3842,3822
3562,3849,3847
3563,3859,3868
3564,3847,3844
3564,3852,3848
3565,3858,3862
3564,3852,3851
3564,3852,3847
3561,3848,3837
3560,3845,3830
3559,3848,3839
3556,3835,4015
3552,3817,3980
3550,3838,4026
3546,3828,3992
3544,3813,3971
3539,3812,3965
3535,3809,3962
3531,3797,3943
3526,3773,3905
3522,3761,3873
3518,3772,3897
3513,3757,3866
3507,3743,3845
3503,3743,3838
